coding,wordstem
female-coded,angenehm
female-coded,ansprechend
female-coded,anständig
female-coded,anvertrauen
female-coded,aufmerksam
female-coded,behutsam
female-coded,bescheiden
female-coded,diplomatisch
female-coded,ehrlich
female-coded,einfühlsam
female-coded,emotional
female-coded,empathisch
female-coded,engagiert
female-coded,fair
female-coded,familiär
female-coded,feinfühlig
female-coded,freundlich
female-coded,fröhlich
female-coded,fürsorglich
female-coded,gepflegt
female-coded,gewissenhaft
female-coded,herzlich
female-coded,hilfsbereit
female-coded,höflich
female-coded,Kind
female-coded,kommunikativ
female-coded,kontaktfreudig
female-coded,kooperativ
female-coded,kreativ
female-coded,kundenorientiert
female-coded,liebevoll
female-coded,loyal
female-coded,mitfühlend
female-coded,motivierend
female-coded,respektvoll
female-coded,rücksichtsvoll
female-coded,sensibel
female-coded,serviceorientiert
female-coded,sorgfältig
female-coded,sozialkompetenz
female-coded,teambildend
female-coded,tolerant
female-coded,unterstützend
female-coded,verantwortungsvoll
female-coded,verlässlich
female-coded,verständnisvoll
female-coded,vertrauen
female-coded,warmherzig
female-coded,zuverlässig
female-coded,zwischenmenschlich
male-coded,abenteuerlustige
male-coded,absolut
male-coded,aggressiv
male-coded,aktiv
male-coded,ambitioniert
male-coded,analysierend
male-coded,aufgabenorientiert
male-coded,Aufstiegsmöglichkeit
male-coded,Autonomie
male-coded,Autorität
male-coded,clever
male-coded,direkt
male-coded,dominant
male-coded,durchsetzungsstark
male-coded,ehrgeizig
male-coded,eigeninitiativ
male-coded,entscheidungsfreudig
male-coded,entschlossen
male-coded,ergebnisorientiert
male-coded,führungskompetent
male-coded,hartnäckig
male-coded,herausfordernd
male-coded,hierarchisch
male-coded,individuell
male-coded,intellektuell
male-coded,karriereorientiert
male-coded,kompetitiv
male-coded,kooperationsfähig
male-coded,leidenschaftlich
male-coded,leistungsstark
male-coded,logisch
male-coded,lösungsorientiert
male-coded,meinungsstark
male-coded,mutig
male-coded,objektiv
male-coded,offensiv
male-coded,pragmatisch
male-coded,rational
male-coded,selbständig
male-coded,selbstbewusst
male-coded,selbstsicher
male-coded,selbständig
male-coded,sympathisch
male-coded,überdurchschnittlich
male-coded,überzeugend
male-coded,unabhängig
male-coded,unternehmerisch
male-coded,verhandlungssicher
male-coded,wettbewerbsorientiert
male-coded,willensstark
male-coded,zielstrebig
